state1,state2,typology,fence,wall,additional_fortification,fortification_description,landmine,bcp,bcp_infrastructure,avdan_2019,hassner_wittenberg_2015,jellissen_gottheil_2013,jones_2012,wikipedia,linnell_et_al_2016
COG,CAF,1,0,0,0,,0,"3.4816203,18.5957902",0,0,0,0,0,0,0
COG,CMR,1,0,0,0,,0,"1.6594957,16.0375334",0,0,0,0,0,0,0
COG,COD,3,0,0,0,,0,"-4.272298,15.2927892",2,0,0,0,0,0,0
COG,GAB,1,0,0,0,,0,"-1.8249131,12.654823",0,0,0,0,0,0,0
COL,BRA,1,0,0,0,,3,,0,0,0,0,0,0,0
COL,ECU,3,0,0,0,,3,"0.8146,-77.6638509",2,0,0,0,0,0,0
COL,PAN,1,0,0,0,,3,,0,0,0,0,0,0,0
COL,PER,1,0,0,0,,3,,0,0,0,0,0,0,0
COL,VEN,3,0,0,0,,3,"7.818762,-72.4537632",2,0,0,0,0,0,0
CRI,NIC,3,0,0,0,,0,"11.211879,-85.6128811",2,0,0,0,0,1,0
CRI,PAN,3,0,0,0,,0,"8.535661,-82.8414911",2,0,0,0,0,0,0
CYP,TUR,5,1,1,0,"2,50m-high stone wall topped with barbed wire or 1,70m-high oil drums topped with barbed wire",0,"35.1813471,33.3228568",1,0,0,0,0,0,0
CZE,AUT,2,0,0,0,,0,"48.6436482,14.4544526",2,0,0,0,0,0,0
CZE,DEU,2,0,0,0,,0,"50.7831,13.8965224",0,0,0,0,0,0,0
CZE,POL,2,0,0,0,,0,"50.042856,18.0883346",0,0,0,0,0,0,0
CZE,SVK,2,0,0,0,,0,"48.951869,17.8950893",2,0,0,0,0,0,0
DEU,AUT,2,0,0,0,,0,"47.7688455,12.9425608",0,0,0,0,0,0,0
DEU,BEL,2,0,0,0,,0,"50.7183025,6.1193957",0,0,0,0,0,0,0
DEU,CHE,3,0,0,0,,0,"47.804838,8.5824366",2,0,0,0,0,0,0
DEU,CZE,2,0,0,0,,0,"50.7831,13.8965224",0,0,0,0,0,0,0
DEU,DNK,2,0,0,0,,0,"54.805698,9.3270904",0,0,0,0,0,0,0
DEU,FRA,2,0,0,0,,0,"48.976256,8.1541425",0,0,0,0,0,0,0
DEU,LUX,2,0,0,0,,0,"49.927388,6.2240221",0,0,0,0,0,0,0
DEU,NLD,2,0,0,0,,0,"51.9030228,6.159115",0,0,0,0,0,0,0
DEU,POL,2,0,0,0,,0,"52.316833,14.5871864",,0,0,0,0,0,0
DJI,ERI,1,0,0,0,,0,"12.7096374,43.1270304",0,0,0,0,0,0,0
DJI,ETH,3,0,0,0,,0,"11.7170024,41.8362184",1,0,0,0,0,0,0
DJI,SOM,3,0,0,0,,0,"11.4611403,43.250635",2,0,0,0,0,0,0
DNK,DEU,5,1,0,0,1.5m-high fence,0,"54.805698,9.3270904",2,0,0,0,0,0,0
DNK,SWE,2,0,0,0,,0,"55.565935,12.9113771",2,0,0,0,0,0,0
DOM,HTI,4,1,0,1,metal police barricades,0,"19.55104,-71.7123648",1,0,0,0,0,0,0
DZA,LBY,4,1,0,0,,0,"30.1787159,9.380824",1,0,0,0,0,0,0
DZA,MAR,5,1,0,1,"barbed-wired fence; trench (6m width, 6m depth) and berm",0,"34.7876096,-1.8404467",2,0,0,0,0,0,0
DZA,MLI,4,0,0,1,berm,0,"21.199541,1.0558139",0,0,0,0,0,0,0
DZA,MRT,4,0,0,1,berm,0,"27.1589219,-8.4052426",1,0,0,0,0,0,0
DZA,NER,4,0,1,1,berm,0,"19.4820778,5.7897571",1,0,0,0,0,0,0
DZA,TUN,4,0,0,1,berm,0,"35.5461881,8.3582814",2,0,0,0,0,0,0
ECU,COL,3,0,0,0,,1,"0.813713,-77.6660633",2,0,0,0,0,0,0
ECU,PER,4,0,1,0,"1-2,2km concrete wall; 4m height",1,"-3.481396,-80.2437922",2,0,0,0,0,0,0
EGY,ISR,3,0,0,0,,,"29.4908473,34.9002717",2,0,0,0,0,0,0
EGY,LBY,4,0,0,1,landmines,,"31.5723596,25.083832",2,0,0,0,0,0,0
EGY,SDN,3,0,0,0,,,"22.0034982,31.5114458",2,0,0,0,0,0,0
ERI,DJI,1,0,0,0,,3,"12.3766306,42.7091293",0,0,0,0,0,0,0
ERI,ETH,3,0,0,0,,3,"12.6351368,42.2788514",1,0,0,0,0,0,0
ERI,SDN,1,0,0,0,,3,"15.1536154,36.4352176",0,0,0,0,0,0,0
ESP,AND,3,0,0,0,,0,"42.4322508,1.4665257",2,0,0,0,0,0,0
ESP,FRA,2,0,0,0,,0,"42.4284537,2.8653959",0,0,0,0,0,0,0
ESP,MAR,5,1,0,0,"razor wire, parallel fences",0,"35.8692046,-5.3458903",2,1,1,1,0,1,0
ESP,PRT,2,0,0,0,,0,"38.883598,-7.0341327",0,0,0,0,0,0,0
EST,LVA,2,0,0,0,,0,"57.874532,24.3793724",0,0,0,0,0,0,0
EST,RUS,4,1,0,0,2.5-meter-high barbed-wire fence (proposed),0,"59.376172,28.1961483",2,1,0,0,0,1,1
ETH,DJI,3,0,0,0,,3,"11.7411381,41.8388819",1,0,0,0,0,0,0
ETH,ERI,4,0,0,1,berm,3,"12.6351368,42.2788514",1,0,0,0,0,0,0
ETH,KEN,3,0,0,0,,3,"3.527842,39.0519513",2,0,0,0,0,0,0
ETH,SDN,3,0,0,0,,3,"12.9576444,36.1519728",1,0,0,0,0,0,0
ETH,SOM,3,0,0,0,,3,"9.5995054,43.3310465",1,0,0,0,0,0,0
ETH,SSD,1,0,0,0,,3,,0,0,0,0,0,0,0
FIN,NOR,2,0,0,0,,0,"69.909323,27.0267623",0,0,0,0,0,0,0
FIN,RUS,3,0,0,0,,0,"61.1305019,28.8232829",2,0,0,0,0,0,0
FIN,SWE,2,0,0,0,,0,"68.444778,22.4744733",0,0,0,0,0,0,0
FRA,AND,3,0,0,0,,0,"42.559438,1.7541873",2,0,0,0,0,0,0
FRA,BEL,2,0,0,0,,0,"50.4393258,3.6679644",0,0,0,0,0,0,0
FRA,CHE,3,0,0,0,,0,"46.147907,6.093807",2,0,0,0,0,0,0
FRA,DEU,2,0,0,0,,0,"48.976256,8.1541425",0,0,0,0,0,0,0
FRA,ESP,2,0,0,0,,0,"42.473434,2.8597698",0,0,0,0,0,0,0
FRA,ITA,2,0,0,0,,0,"43.785973,7.5280688",0,0,0,0,0,0,0
FRA,LUX,2,0,0,0,,0,"49.477277,6.1192158",0,0,0,0,0,0,0
FRA,MCO,2,0,0,0,,0,,0,0,0,0,0,0,0
GAB,CMR,3,0,0,0,,0,"2.1754854,11.3610833",2,0,0,0,0,0,0
GAB,COG,1,0,0,0,,0,"-1.812399,12.6539094",0,0,0,0,0,0,0
GAB,GNQ,3,0,0,0,,0,"1.6218184,11.3335202",1,0,0,0,0,0,0
GBR,IRL,2,0,0,0,,0,"54.113749,-6.3663178",0,0,0,0,0,0,0
GEO,ARM,3,0,0,0,,,"41.2292457,44.8289847",2,0,0,0,0,0,0
GEO,AZE,3,0,0,0,,,"41.3299709,45.0690978",2,0,0,0,0,0,0
GEO,RUS,3,0,0,0,,,"41.636845,48.4206759",2,0,0,0,0,0,1
GEO,TUR,3,0,0,0,,,"41.5883307,42.8184448",2,0,0,0,0,0,0
GHA,BFA,3,0,0,0,,0,"10.9966736,-1.1150183",1,0,0,0,0,0,0
GHA,CIV,3,0,0,0,,0,"5.2896764,-2.7809223",1,0,0,0,0,0,0
GHA,TGO,3,0,0,0,,0,"6.1130267,1.1983268",1,0,0,0,0,0,0
GIN,CIV,3,0,0,0,,0,"7.6115374,-8.3108345",1,0,0,0,0,0,0
GIN,GNB,3,0,0,0,,0,"12.4288942,-13.6351703",1,0,0,0,0,0,0
GIN,LBR,3,0,0,0,,0,"8.4925664,-9.6486618",1,0,0,0,0,0,0
GIN,MLI,3,0,0,0,,0,"11.949499,-8.7874417",1,0,0,0,0,0,0
GIN,SEN,3,0,0,0,,0,"12.5844564,-13.3730473",1,0,0,0,0,0,0
GIN,SLE,3,0,0,0,,0,"9.1734246,-12.9596621",2,0,0,0,0,0,0
GMB,SEN,3,0,0,0,,0,"13.5917248,-16.4222039",2,0,0,0,0,0,0
GNB,GIN,3,0,0,0,,0,"12.4281544,-13.6472631",1,0,0,0,0,0,0
GNB,SEN,3,0,0,0,,0,"12.4493936,-16.2248503",1,0,0,0,0,0,0
GNQ,CMR,3,0,0,0,,0,"2.3419007,9.8224127",1,0,0,0,0,0,0
GNQ,GAB,3,0,0,0,,0,"2.172850, 11.336933",1,0,0,0,0,0,0
GRC,ALB,3,0,0,0,,0,"39.9123192,20.3612858",2,0,0,0,0,0,0
GRC,BGR,3,0,0,0,,0,"41.433402,23.8254283",2,0,0,0,0,0,0
GRC,MKD,3,0,0,0,,0,"41.128159,22.5495243",2,0,0,0,0,0,1
GRC,TUR,4,1,0,0,"12,5km barbed-wired fence",0,"40.944966,26.3095745",2,1,1,1,1,0,1
GTM,BLZ,3,0,0,0,,0,"17.057976,-89.1531308",2,0,0,0,0,0,0
GTM,HND,3,0,0,0,,0,"14.539276,-89.2845494",1,0,0,0,0,0,0
